name,address,type,gauges,bribe_ca,fee_ca,algebra_pool
sAMM-USDT/FITFI,0x0348D8fabbcB84069662e454E4f714DcD5d0C412,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,
sAMM-HAY/FRAX,0x04d6115703b0127888323F142B8046C7c13f857d,sAMM,0xe5F912110Bb8A7F44634D82775d6106c11043a89,0x2d7547d8233B57887B660dF0DcD55dB0a209Cf89,0xf71d0d8434260F8ea2D91F1F2F60de817F5855a1,
sAMM-DEI/BUSD,0x06589AbD54582783142E3D1165722e7e10483De0,sAMM,0x4d22DD55A9f4E5de12523e1B7f594CF57605ED31,0xB41adC9e7948435494445CF1c9c5A2675CaBDE56,0xec31916f359c141BA859851569b5E7De4fC02E0f,
vAMM-MULTI/WBNB,0x075E794F631eE81df1aadB510aC6Ec8803B0FA35,vAMM,0x7Ab3e3cF64657FD89fcb399796f0888206766601,0xd7542f9Ba7B42e92B920cD989E7CEA97a1C7aE2F,0x57Db630a7bdF464F9Db0C6389692E0E600ea5A63,
sAMM-WBNB/stkBNB,0x091A3f00feFD09e5343FE4d126B14dc896640786,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,
vAMM-HAY/BUSD,0x0a0b71feC85C490469Dd6459E3a4eC1e6A7CC66D,vAMM,0x68988264bfCf979e3520909C184A91088133F65b,0xB1eD9913e4Be7fe5e972dB02D908a16aAA964529,0x1B5E43050f210a520a8516bD162B305f120265Bf,
vAMM-USDC/LIQ,0x0A65Af66C963E04D28C1497066362Dacb91dd1a0,vAMM,0xE057f5fe2042E3C48689Abb35928ecCCEBfd7722,0xD2F25D38aD1617a9896c7a8cF8287b0829Cf2637,0xe2A972009B2629E5f729A93AAF64beEDC7eCDDe3,
vAMM-USDT/GHNY,0x0b4CE324b89537379939Abb3b35b04b4cC1CF4Fd,vAMM,0x12ff6217B92C4b6b773DaB53dfeb216894Bb60F3,0x2Afe39F548E828D3FFb3fE92c7003CC7fA5895c1,0x11fB4012D00b3FE8CeC9fE26ABAb08B238C89222,
vAMM-cpTHE/WBNB,0x0C32b95142eD07e07b95F6c2EC8Ef05EDb0c4F45,vAMM,0x7388a4063bf396Ab8994493142C3B7A26B0Ef83C,0xf8BA02559F30D6Bf032518Ae26199dd4Fb6119e8,0x78e747521cd3eFE8a322De5F38c16428FD18b285,
vAMM-frxETH/FRAX,0x0D8401cBc650e82D1F21A7461efC6409Ef55C4Db,vAMM,0x4bba4d4FdDE2C887981A0b55b6f385bAaba58060,0x96251528F282fE0D6238DF9fC050e02593E86915,0xD392Dac70B885fBcb6C087897D3Bd12513a79ABd,
vAMM-DOLA/FRAX,0x0D9aB02ae2110170B8e83B3ABa4E3aC2398Ab541,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,
sAMM-MULTI/WBNB,0x0dB08Af3BfEE2083C702b20c89Cbcadad68eB51a,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,
vAMM-WBNB/CHAM,0x0ec098Aa4bC6A31e4f804E653F0488Eb0FEb1a2A,vAMM,0x510c37834E20027E9987c7d85A3040BAD8e1365e,0x9886d65f37444D6388BF3DD0E078319FA3EeA8b5,0xDB4B7919E19be5A690A4CE3976A0B1e17f49aaeA,
vAMM-BUSD/CUSD,0x0F68c7cCb6a87fe988109A42A446786ddf368eD8,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,
vAMM-MIX/WBNB,0x0f7d50A2728dE6f94B3aC8013031f527572cc9F1,vAMM,0x4BE31cd6cCc28EeC41dD9cB8A74d788C83B01db0,0xC2384e084922fE494dC48d948cF0A0e5096dC369,0xFA6f38d5c77460e1A0A9CA3fC4504ACCe3C8e779,
vAMM-HAY/THE,0x0f8Bbc44650BF30F53343c3D2BF5c10356B64bD5,vAMM,0x7bE80587520Cec6dD71b898b63421EDaD94cb899,0xb3bb6BD388D6e343A25E14701a497875F03ae932,0xcE41C00b4aB8AB877d119e4048F2a19E2B5b5805,
vAMM-MAI/FXS,0x10F9f7355Fb75C73718Afad8AdBc7BF72c5A0715,vAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,
sAMM-C98/CUSD,0x12D06Ce4Bf2149909F6E4808A48c254d9C07102b,sAMM,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,
