[2023-03-10 00:36:49,682] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-10 00:36:54,686] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-10 00:36:55,622] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-10 00:38:31,769] 	INFO 	107 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-10 00:38:32,659] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-10 00:40:01,937] 	INFO 	138 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-10 01:46:57,979] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-03-10 01:48:17,873] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-03-10 02:22:20,081] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-10 02:22:24,201] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-10 02:22:25,070] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-10 02:24:55,638] 	ERROR 	109 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Error: {'code': 503, 'message': 'The service is currently unavailable.', 'status': 'UNAVAILABLE'}
[2023-03-10 02:24:56,532] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-10 02:26:20,007] 	INFO 	138 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-10 02:58:10,374] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-03-10 02:58:57,258] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-03-10 03:19:08,153] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-10 03:19:11,398] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-10 03:19:12,396] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-10 03:20:32,954] 	INFO 	107 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-10 03:20:33,865] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-10 03:21:36,422] 	INFO 	138 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-10 03:31:00,202] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-03-10 03:31:48,284] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-03-10 04:08:39,207] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-10 04:08:43,893] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-10 04:08:44,937] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-10 04:10:12,010] 	INFO 	107 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-10 04:10:13,090] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-10 04:11:12,737] 	INFO 	138 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-10 04:24:13,781] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-03-10 04:25:35,340] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-03-10 05:07:01,078] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-10 05:07:05,151] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-10 05:07:06,025] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-10 05:08:22,495] 	INFO 	107 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-10 05:08:23,409] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-10 05:09:20,217] 	INFO 	138 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-10 05:18:51,527] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-03-10 05:19:35,932] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-03-10 06:09:44,792] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-10 06:09:49,197] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-10 06:09:50,119] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-10 06:11:28,620] 	INFO 	107 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-10 06:11:29,502] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-10 06:12:51,890] 	INFO 	138 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-10 06:25:44,076] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-03-10 06:26:57,523] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-03-10 07:07:03,315] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-03-10 07:07:06,866] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-03-10 07:07:08,058] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-03-10 07:08:40,872] 	INFO 	107 	pair_data.py 	<module>() 	Pair Data Ended
[2023-03-10 07:08:42,035] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-03-10 07:09:35,438] 	INFO 	138 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-03-10 07:18:03,578] 	INFO 	23 	id_data.py 	<module>() 	ID Data Started
[2023-03-10 07:18:56,320] 	INFO 	74 	id_data.py 	<module>() 	ID Data Ended
[2023-03-10 08:09:30,175] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
