[2023-05-20 16:28:34,206] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-20 16:28:37,730] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-20 16:28:39,114] 	INFO 	37 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-20 16:30:17,253] 	INFO 	113 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-20 16:30:18,531] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-20 16:38:07,569] 	INFO 	150 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-05-20 16:38:08,496] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-20 16:38:16,109] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-20 16:57:42,884] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-20 16:57:43,098] 	ERROR 	75 	day_data.py 	<module>() 	Error occurred during Day Data process. Error: 'date'
[2023-05-20 17:06:47,796] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-20 17:06:50,574] 	INFO 	72 	day_data.py 	<module>() 	Day Data Ended
[2023-05-20 17:08:42,390] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-20 17:10:27,455] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-20 17:13:32,535] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-20 17:13:34,524] 	INFO 	72 	day_data.py 	<module>() 	Day Data Ended
[2023-05-20 17:16:31,327] 	INFO 	37 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-20 17:18:09,703] 	INFO 	113 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-20 18:11:03,282] 	INFO 	27 	day_data.py 	<module>() 	Day Data Started
[2023-05-20 18:11:05,853] 	INFO 	73 	day_data.py 	<module>() 	Day Data Ended
[2023-05-20 18:11:05,853] 	INFO 	79 	day_data.py 	<module>() 	Day Data Fusion Started
[2023-05-20 18:11:08,626] 	INFO 	125 	day_data.py 	<module>() 	Day Data Fusion Ended
[2023-05-20 18:13:53,818] 	INFO 	27 	day_data.py 	<module>() 	Day Data Started
[2023-05-20 18:13:56,830] 	INFO 	73 	day_data.py 	<module>() 	Day Data Ended
[2023-05-20 18:13:56,830] 	INFO 	79 	day_data.py 	<module>() 	Day Data Fusion Started
[2023-05-20 18:13:59,175] 	INFO 	125 	day_data.py 	<module>() 	Day Data Fusion Ended
[2023-05-20 18:26:34,731] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-20 18:28:17,945] 	INFO 	120 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-20 18:33:28,601] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-20 18:36:29,977] 	INFO 	120 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-20 19:07:38,211] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-20 19:09:28,569] 	INFO 	120 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-20 20:04:37,869] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-20 20:04:41,232] 	INFO 	72 	day_data.py 	<module>() 	Day Data Ended
[2023-05-20 20:04:41,232] 	INFO 	78 	day_data.py 	<module>() 	Day Data Fusion Started
[2023-05-20 20:04:43,951] 	INFO 	124 	day_data.py 	<module>() 	Day Data Fusion Ended
[2023-05-20 20:04:44,921] 	INFO 	37 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-20 20:05:44,572] 	INFO 	106 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-20 20:05:44,572] 	INFO 	122 	pair_data.py 	<module>() 	Pair Data Fusion Started
[2023-05-20 20:05:56,231] 	INFO 	188 	pair_data.py 	<module>() 	Pair Data Fusion Ended
[2023-05-20 20:05:57,150] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-20 20:10:34,512] 	INFO 	150 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-05-20 20:10:35,210] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-20 20:10:43,307] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
