[2023-02-10 00:59:58,320] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 01:00:25,893] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 01:00:25,893] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 01:00:47,266] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 01:16:23,203] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 01:16:26,636] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 02:29:26,679] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 02:29:43,002] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 02:29:43,002] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 02:30:06,455] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 02:51:06,202] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 02:51:08,570] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 03:19:33,411] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 03:19:55,678] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 03:19:55,678] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 03:20:19,216] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 03:22:15,793] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 03:22:18,370] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 04:13:58,405] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 04:14:13,767] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 04:14:13,767] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 04:14:37,495] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 04:18:02,406] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 04:18:03,734] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 05:10:58,118] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 05:11:16,409] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 05:11:16,409] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 05:11:36,333] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 05:14:02,402] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 05:14:05,140] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 06:15:00,050] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 06:15:19,917] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 06:15:19,917] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 06:15:44,272] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 06:19:19,853] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 06:19:22,901] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 07:10:39,174] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 07:10:59,313] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 07:10:59,313] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 07:11:19,208] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-10 07:13:49,974] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-10 07:13:52,630] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-10 08:14:20,934] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-10 08:14:35,561] 	INFO 	56 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-10 08:14:35,561] 	INFO 	59 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-10 08:14:56,652] 	INFO 	131 	pair_data.py 	<module>() 	Pair Data Ended
