[2023-04-20 00:30:59,100] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-04-20 00:31:04,962] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-04-20 00:31:06,448] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-04-20 00:33:11,551] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-04-20 00:33:12,663] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-04-20 00:36:27,174] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: 'address'
[2023-04-20 00:36:28,002] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-04-20 00:36:33,897] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-04-20 00:42:02,920] 	INFO 	27 	emissions_data.py 	<module>() 	Emissions Data Started
[2023-04-20 00:42:59,631] 	ERROR 	89 	emissions_data.py 	<module>() 	Error occurred during Emissions Data process. Error: Expecting value: line 1 column 1 (char 0)
[2023-04-20 00:53:52,262] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-04-20 00:55:56,960] 	INFO 	116 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-04-20 02:00:56,265] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-04-20 02:02:10,201] 	INFO 	116 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-04-20 02:25:56,771] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-04-20 02:25:59,591] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-04-20 02:26:00,458] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-04-20 02:27:58,613] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-04-20 02:27:59,500] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-04-20 02:30:47,064] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: 'address'
[2023-04-20 02:30:47,733] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-04-20 02:30:52,091] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-04-20 03:11:15,895] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-04-20 03:13:18,858] 	INFO 	116 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-04-20 04:07:19,883] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-04-20 04:07:23,931] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-04-20 04:07:24,840] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-04-20 04:09:31,229] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-04-20 04:09:32,188] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-04-20 04:12:15,478] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: 'address'
[2023-04-20 04:12:16,162] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-04-20 04:12:22,153] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
