[2023-05-04 00:31:40,899] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-04 00:31:45,076] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-04 00:31:46,243] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-04 00:34:09,582] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-04 00:34:10,469] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-04 00:40:57,176] 	ERROR 	152 	bribe_data.py 	<module>() 	Error occurred during Bribe Data process. Error: 'address'
[2023-05-04 00:40:57,796] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-04 00:41:04,625] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-04 00:42:50,530] 	INFO 	27 	emissions_data.py 	<module>() 	Emissions Data Started
[2023-05-04 00:43:12,546] 	INFO 	87 	emissions_data.py 	<module>() 	Emissions Data Ended
[2023-05-04 00:54:23,216] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-04 00:57:12,848] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-04 01:59:55,976] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-04 02:01:42,735] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
[2023-05-04 02:25:14,418] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-05-04 02:25:18,460] 	INFO 	68 	day_data.py 	<module>() 	Day Data Ended
[2023-05-04 02:25:19,567] 	INFO 	36 	pair_data.py 	<module>() 	Pair Data Started
[2023-05-04 02:27:49,686] 	INFO 	105 	pair_data.py 	<module>() 	Pair Data Ended
[2023-05-04 02:27:50,949] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2023-05-04 02:32:55,582] 	INFO 	150 	bribe_data.py 	<module>() 	Bribe Data Ended
[2023-05-04 02:32:56,530] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2023-05-04 02:33:03,883] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2023-05-04 02:33:58,001] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2023-05-04 02:36:04,885] 	INFO 	119 	id_data_v2.py 	<module>() 	ID Data Ended
