[2024-07-01 00:39:24,546] 	INFO 	23 	id_data_v2.py 	<module>() 	ID Data Started
[2024-07-01 00:43:57,393] 	INFO 	120 	id_data_v2.py 	<module>() 	ID Data Ended
[2024-07-01 00:43:58,116] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2024-07-01 00:43:59,363] 	INFO 	72 	day_data.py 	<module>() 	Day Data Ended
[2024-07-01 00:43:59,363] 	INFO 	78 	day_data.py 	<module>() 	Day Data Fusion Started
[2024-07-01 00:44:01,039] 	INFO 	124 	day_data.py 	<module>() 	Day Data Fusion Ended
[2024-07-01 00:44:01,039] 	INFO 	131 	day_data.py 	<module>() 	Day Data Combined Started
[2024-07-01 00:44:03,564] 	INFO 	161 	day_data.py 	<module>() 	Day Data Combined Ended
[2024-07-01 00:44:04,373] 	INFO 	37 	pair_data.py 	<module>() 	Pair Data Started
[2024-07-01 00:44:43,500] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-FITFI/BUSD, Address: 0xcAe2C0d6937671490D3bcE4C21d57fF313f407Eb, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:43,591] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-fBOMB/WBNB, Address: 0xCcDEdaC1973b6d2542fB1b7EcE843b81A9ee7070, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:43,698] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-CSIX/USDT, Address: 0xCE7C38ECe02b55070208b2e070585eA5321748e1, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:43,800] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: sAMM-qTHE/THE, Address: 0xCEd2490a69aeD204e7A10e4Aa10DdDce5224287D, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:43,904] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-WBNB/LIQ, Address: 0xD27F175c12C9d147ff1be4844856F224fD6223C4, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,014] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-BTCB/WBNB, Address: 0xD328D129E46f9B978416599913102e8CD64593F3, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,111] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: sAMM-FRAX/sFRAX, Address: 0xD46Da49357a3c9da115b3bf20B31b2cf3e5dE58B, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,214] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-USDT/FITFI, Address: 0xD523AC2609c3A56f945242CC239e9F47c018bf6b, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,312] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-BTCB/BUSD, Address: 0xD5B7877cD8056f38bB37FaDb63FE698E406F3870, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,443] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: sAMM-FRAX/FXS, Address: 0xd6C883ABA697b33110e42077D28361aa3E48f26A, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,542] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-UNW/THE, Address: 0xd714206a7D63F5a2d613064815995E9CC7061988, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,667] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-NGL/USDT, Address: 0xD949476184B9c94Ed2130E8175D4139654CE2339, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,792] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-HAY/USDC, Address: 0xD9937a059D2FCAb6cB0C11Da71cc91F7b33A3870, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:44,897] 	ERROR 	66 	pair_data.py 	<module>() 	Error occurred during Pair Data process. Pair: vAMM-BNBx/ETH, Address: 0xd9BC6271abBE5dd01731B1b9aC2C1Cb0ea5Be246, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 00:44:58,983] 	INFO 	111 	pair_data.py 	<module>() 	Pair Data Ended
[2024-07-01 00:44:58,983] 	INFO 	127 	pair_data.py 	<module>() 	Pair Data Fusion Started
[2024-07-01 00:45:26,239] 	INFO 	196 	pair_data.py 	<module>() 	Pair Data Fusion Ended
[2024-07-01 00:45:26,239] 	INFO 	203 	pair_data.py 	<module>() 	Pair Data Combined Started
[2024-07-01 00:45:52,213] 	INFO 	233 	pair_data.py 	<module>() 	Pair Data Combined Ended
[2024-07-01 00:45:53,117] 	INFO 	39 	bribe_data.py 	<module>() 	Bribe Data Started
[2024-07-01 01:15:34,905] 	INFO 	154 	bribe_data.py 	<module>() 	Bribe Data Ended
[2024-07-01 01:15:35,488] 	INFO 	24 	revenue_data.py 	<module>() 	Revenue Data Started
[2024-07-01 01:15:52,548] 	INFO 	72 	revenue_data.py 	<module>() 	Revenue Data Ended
[2024-07-01 01:15:53,109] 	INFO 	24 	revenue_data_v2.py 	<module>() 	Revenue Data Started
[2024-07-01 01:16:06,705] 	INFO 	86 	revenue_data_v2.py 	<module>() 	Revenue Data Ended
[2024-07-01 01:16:07,268] 	INFO 	36 	tvl_data.py 	<module>() 	TVL Data Started
[2024-07-01 01:16:58,720] 	ERROR 	93 	tvl_data.py 	<module>() 	Error occurred during TVL Data process. Pair: OVN/USDT+, Address: 0x0571e491cbfa2fdb449a329196e01e4fdc9caf7a, Error: Expecting value: line 1 column 1 (char 0)
[2024-07-01 01:16:58,835] 	ERROR 	93 	tvl_data.py 	<module>() 	Error occurred during TVL Data process. Pair: USDV/USDT, Address: 0x97c4decba0438a4b6f871561963fc41b222dfa10, Error: Expecting value: line 1 column 1 (char 0)
